row_key,source_type,quiz_id,source_file,question_id,field_origin,choice_id,surface,reading,part_of_speech,definitions,has_kanji,needs_override,review_status,review_notes,override_text
quiz|clause_untangler.json|cu_001|choice_label|a|かばん,quiz,clauseUntangler,clause_untangler.json,cu_001,choice_label,a,かばん,,,,0,0,,,
quiz|clause_untangler.json|cu_001|choice_label|d|店,quiz,clauseUntangler,clause_untangler.json,cu_001,choice_label,d,店,,,,1,1,,,
quiz|clause_untangler.json|cu_001|choice_label|b|昨日,quiz,clauseUntangler,clause_untangler.json,cu_001,choice_label,b,昨日,きのう,noun,yesterday,1,0,,,
quiz|clause_untangler.json|cu_001|choice_label|c|軽さ,quiz,clauseUntangler,clause_untangler.json,cu_001,choice_label,c,軽さ,,,,1,1,,,
quiz|clause_untangler.json|cu_001|explanation||かばん,quiz,clauseUntangler,clause_untangler.json,cu_001,explanation,,かばん,,,,0,0,,,
quiz|clause_untangler.json|cu_001|explanation||の述語にはこの節はかからない,quiz,clauseUntangler,clause_untangler.json,cu_001,explanation,,の述語にはこの節はかからない,,,,1,1,,,
quiz|clause_untangler.json|cu_001|explanation||は節内の成分で,quiz,clauseUntangler,clause_untangler.json,cu_001,explanation,,は節内の成分で,,,,1,1,,,
quiz|clause_untangler.json|cu_001|explanation||修飾を受ける名詞は,quiz,clauseUntangler,clause_untangler.json,cu_001,explanation,,修飾を受ける名詞は,,,,1,1,,,
quiz|clause_untangler.json|cu_001|explanation||昨日,quiz,clauseUntangler,clause_untangler.json,cu_001,explanation,,昨日,きのう,noun,yesterday,1,0,,,
quiz|clause_untangler.json|cu_001|explanation||軽いです,quiz,clauseUntangler,clause_untangler.json,cu_001,explanation,,軽いです,,,,1,1,,,
quiz|clause_untangler.json|cu_001|japanese||昨日買ったかばんは軽いです,quiz,clauseUntangler,clause_untangler.json,cu_001,japanese,,昨日買ったかばんは軽いです,,,,1,1,,,
quiz|clause_untangler.json|cu_001|prompt||は何を説明していますか,quiz,clauseUntangler,clause_untangler.json,cu_001,prompt,,は何を説明していますか,,,,1,1,,,
quiz|clause_untangler.json|cu_001|prompt||昨日買った,quiz,clauseUntangler,clause_untangler.json,cu_001,prompt,,昨日買った,,,,1,1,,,
quiz|clause_untangler.json|cu_001|vocabulary_0||昨日買ったかばんは軽いです,quiz,clauseUntangler,clause_untangler.json,cu_001,vocabulary_0,,昨日買ったかばんは軽いです,,,,1,1,,,
